segment_id	text	category	duration	audio_path
POD0000005747_S0001090	OR	3	0.9003906	POD0000005747_S0001090.wav
POD0000000776_S0000231	I'M KRISTA TIPPETT <COMMA> AND THIS IS ON BEING <PERIOD>	6	2.3701172	POD0000000776_S0000231.wav
AUD0000000665_S0001036	HUMPH <COMMA> I'D LIKE TO SEE YOU OR MOLLY OR ANY WOMAN CORNER TOM POLLARD <COMMA> SAID MRS <PERIOD> JOHNSON WITH A WRY SMILE AS SHE TASTED THE CONCOCTION IN THE WINE-GLASS <PERIOD>	28	7.830078	AUD0000000665_S0001036.wav
YOU0000003467_S0000090	I AM EQUALLY AS FOCUSED ON THE AMERICAN DIPLOMATIC CORPS AS WELL AS ALL THE CONTRACTORS THAT WORK FOR THE US GOVERNMENT AND OTHER AMERICAN CITIZENS NOT JUST IN THE MIDDLE EAST BUT AROUND THE WORLD <PERIOD> SO I THOUGHT SHE MADE A GOOD POINT SPECIFICALLY WHEN IT CAME TO HOW THIS ESCALATION <PERIOD>	12	16.73999	YOU0000003467_S0000090.wav
YOU0000004589_S0000642	SO <COMMA> HOUR OF CODE IS GREAT <COMMA> CODING IS COOL BUT YOU'VE GOT TO BE DOING SOMETHING WITH IT <PERIOD>	21	5.5498047	YOU0000004589_S0000642.wav
YOU0000003048_S0002897	IT'S A CONVERSION OF THE MATTER-STATE <PERIOD>	15	2.2998047	YOU0000003048_S0002897.wav
YOU0000005458_S0000513	BECAUSE OF THAT FACT <COMMA> SOCIAL DISTANCING OF CHILDREN AND REDUCED CENSUS CLASSROOMS IS NOT NECESSARY AND THEREFORE NOT RECOMMENDED <PERIOD>	21	8.190186	YOU0000005458_S0000513.wav
POD0000006357_S0000235	HOW MUCH TESTING <PERIOD> IT NEEDS TO BE TARGETED TESTING IN MY OPINION <COMMA>	17	4.420044	POD0000006357_S0000235.wav
POD0000000768_S0000372	YOU DON'T THINK ABOUT CONSEQUENCES BECAUSE EVERYBODY IS DOING IT <PERIOD>	6	3.1501465	POD0000000768_S0000372.wav
YOU0000002327_S0000009	IS THAT WHAT WE'RE LOOKING FOR <QUESTIONMARK>	25	1.7700005	YOU0000002327_S0000009.wav
YOU0000005414_S0000781	IT'S HARD TO THINK OF A DROP OF WATER AS HAVING THAT <COMMA> BUT <COMMA> OF COURSE <COMMA> IT DOES TO SOME DEGREE <PERIOD>	21	6.0	YOU0000005414_S0000781.wav
POD0000005564_S0000142	IF WE WERE ABLE TO REPRODUCE THE SAME EXACT PRODUCTIVITY GROWTH THAT WE HAD UNDER PRESIDENT REAGAN <COMMA>	6	5.6400146	POD0000005564_S0000142.wav
POD0000000488_S0000192	THEN YOU START SEEING THINGS WITH MORE CLARITY <PERIOD>	6	4.3499756	POD0000000488_S0000192.wav
POD0000005113_S0000454	THIS IS THE BEST NEWS AND INFORMATION TECHNOLOGY COMPANY IN CHINA <PERIOD>	1	5.8200684	POD0000005113_S0000454.wav
YOU0000000171_S0006364	AND SMOTE WITH ALL HIS FORCE AT THE UGLY HEAD BEFORE HIM <PERIOD>	21	4.298828	YOU0000000171_S0006364.wav
POD0000001360_S0000015	I STARTED GOOGLING TO SEE IF YOU EVER WROTE ABOUT CHILDREN AND PARENTING AND GRANDPARENTING <PERIOD> WHAT I FOUND IS THAT IN HER BIO DESCRIPTION <COMMA> EVERYWHERE I COULD FIND IT <COMMA>	6	9.5099945	POD0000001360_S0000015.wav
AUD0000001383_S0002572	BUT TESSIE DIDN'T CARE <PERIOD>	28	1.5	AUD0000001383_S0002572.wav
AUD0000000341_S0000506	IT WAS THERE <PERIOD>	28	1.079956	AUD0000000341_S0000506.wav
AUD0000001259_S0000463	THE FACTS I NEEDED WERE ALL NEATLY TUCKED AWAY IN THEIR PAPER CATACOMBS <PERIOD>	28	4.830078	AUD0000001259_S0000463.wav
